element_id,standard_name
mean(solar_irradiance pt1m),solar_irradiance
mean(surface_albedo pt1h),surface_albedo
mean(surface_downwelling_longwave_flux_in_air pt1h),surface_downwelling_longwave_flux_in_air
mean(surface_downwelling_longwave_flux_in_air pt1m),surface_downwelling_longwave_flux_in_air
mean(surface_downwelling_photosynthetic_radiative_flux_in_air pt1h),surface_downwelling_longwave_flux_in_air
mean(surface_downwelling_shortwave_flux_in_air pt10m),surface_downwelling_shortwave_flux_in_air
mean(surface_downwelling_shortwave_flux_in_air pt1h),surface_downwelling_shortwave_flux_in_air
mean(surface_downwelling_shortwave_flux_in_air pt1m),surface_downwelling_shortwave_flux_in_air
mean(surface_net_downward_radiative_flux pt1h),surface_net_downward_radiative_flux
mean(surface_net_downward_radiative_flux pt1m),surface_net_downward_radiative_flux
mean(surface_upwelling_longwave_flux_in_air pt1h),surface_upwelling_longwave_flux_in_air
mean(surface_upwelling_longwave_flux_in_air pt1m),surface_upwelling_longwave_flux_in_air
mean(surface_upwelling_shortwave_flux_in_air pt1h),surface_upwelling_shortwave_flux_in_air
mean(surface_upwelling_shortwave_flux_in_air pt1m),surface_upwelling_shortwave_flux_in_air
mean(diffuse_downwelling_shortwave_flux_in_air pt1h),diffuse_downwelling_shortwave_flux_in_air
mean(surface_downwelling_photosynthetic_radiative_flux_in_air pt1h),surface_downwelling_photosynthetic_radiative_flux_in_air
(duration_of_sunshine p1d),duration_of_sunshine
(duration_of_sunshine p1m),duration_of_sunshine
(duration_of_sunshine p1y),duration_of_sunshine
(duration_of_sunshine pt10m),duration_of_sunshine
(duration_of_sunshine p1h),duration_of_sunshine
(duration_of_sunshine p1m),duration_of_sunshine